Geneid	HMEC_C1
100287102	0
653635	31
102466751	1
100302278	0
645520	0
79501	0
729737	50
102725121	1
102723897	44
102465909	0
729759	0
100132287	2
105378947	1
101928626	0
102465432	4
81399	0
100133331	2
100288069	8
400728	24
79854	9
643837	109
284593	0
100130417	2
148398	92
26155	1019
339451	354
84069	104
84808	12
57801	84
9636	104
375790	3733
105369174	6
105378948	0
401934	5
54991	210
254099	0
406984	0
406983	0
554210	1
254173	0
8784	0
7293	6
51150	912
126792	847
388581	7
118424	826
6339	99
116983	570
102465434	0
126789	340
54973	1202
102465435	0
80772	377
83756	92
1855	2181
102466740	0
54587	78
54998	1258
81669	1023
148413	106
55052	182
441869	1
643965	0
102724312	1
64856	13
219293	4
83858	493
55210	837
339453	5
29101	1334
643988	56
142678	547
8510	3
984	294
728661	1430
8511	3
728642	134
9906	377
65220	775
2782	7598
105378949	9
163688	0
339456	5
85452	2
2563	1
5590	7
100506504	20
199990	612
105378592	7
6497	1354
105378594	5
79906	48
100129534	7
11079	2408
5192	307
9651	2
55229	1
388585	0
115110	0
8764	0
100996583	0
127281	3
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	45
1953	80
693135	0
127262	811
49856	261
7161	8
57212	122
148870	0
388588	4
57470	1004
9731	672
1677	121
339448	205
100133612	0
728716	0
284661	0
55966	4402
100616489	0
100616421	0
261734	379
8514	1810
26038	3
6146	1475
102724450	1
388591	108
23463	2244
148645	7
390992	0
387509	1190
11332	1391
54626	27
83715	5
100422975	0
8718	336
57449	1269
79707	631
80835	2
3104	240
9903	2156
148479	677
90326	169
55735	318
100505887	0
23261	312
9341	3523
8863	193
10911	0
3604	6
11315	1029
54206	2471
102724539	0
50651	12
473	1093
102724552	3
2023	34217
102465436	0
100505975	0
765	0
155184	0
6518	310
80045	287
407040	11
9563	2643
80176	260
100506022	4
84275	0
199953	227
5293	1865
644997	3
101929074	7
22883	4831
56998	134
84328	299
64802	222
100847055	0
105376719	0
116362	0
10277	1101
23095	1605
100422970	0
5226	2206
100526739	0
378708	7
1325	1
1676	753
5195	207
54897	19
148345	0
23435	462
10747	31
6723	940
5394	956
2475	1971
100873935	6
10218	12
29914	292
57540	0
101929181	0
26232	50
93611	141
26270	44
10459	679
374946	0
57085	570
284498	0
102724659	0
4524	315
1185	651
100379251	2
4878	4
4879	0
26829	114
90231	1429
5351	3529
9927	1742
60672	225
102466982	0
943	0
102465836	0
7133	89
100616438	0
55187	2086
677885	0
9249	1468
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	1
10630	764
7799	657
23254	2
200197	0
55092	128
727684	0
114827	17
101927417	4
79180	2541
11330	1
63036	0
51032	3
842	124
23341	586
79814	74
84301	129
6248	82
23207	1312
284723	19
388595	2
54751	2072
440567	22
729614	46
23013	1652
7709	290
101928566	0
149563	0
27129	0
1187	1
1188	0
348487	34
1969	2512
128272	97
101927546	0
79363	25
54455	407
26099	2123
374955	12
55707	908
114819	56
26871	16
100126512	13
100126517	0
102724970	2
100133301	0
7195	0
55672	198
84809	98
11209	40
26869	15
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	4
11223	8
100500876	0
100189298	1
7193	0
791226	0
9696	104
26870	12
4237	109
23400	777
6390	1608
11240	28
29943	9
51702	52
100616188	0
23569	2
353238	0
55920	1514
55160	101
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	123
100616120	0
100302276	0
126917	238
23352	7945
