Geneid	HMEC_C2
100287102	0
653635	115
102466751	2
100302278	0
645520	0
79501	0
729737	28
102725121	2
102723897	77
102465909	0
729759	0
100132287	1
105378947	1
101928626	1
102465432	0
81399	0
100133331	0
100288069	8
400728	6
79854	13
643837	20
284593	0
100130417	1
148398	165
26155	1884
339451	375
84069	96
84808	6
57801	155
9636	147
375790	4373
105369174	11
105378948	0
401934	0
54991	238
254099	2
406984	0
406983	0
554210	0
254173	0
8784	1
7293	2
51150	1600
126792	1042
388581	18
118424	716
6339	68
116983	759
102465434	0
126789	409
54973	1705
102465435	0
80772	319
83756	83
1855	3970
102466740	0
54587	54
54998	1554
81669	627
148413	77
55052	258
441869	1
643965	0
102724312	0
64856	12
219293	4
83858	877
55210	892
339453	4
29101	1637
643988	27
142678	1133
8510	0
984	150
728661	894
8511	0
728642	97
9906	255
65220	911
2782	4512
105378949	10
163688	1
339456	6
85452	0
2563	0
5590	19
100506504	8
199990	976
105378592	9
6497	670
105378594	2
79906	68
100129534	2
11079	4463
5192	282
9651	5
55229	0
388585	0
115110	0
8764	1
100996583	0
127281	3
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	37
1953	56
693135	0
127262	1152
49856	230
7161	3
57212	101
148870	0
388588	13
57470	1607
9731	458
1677	151
339448	148
100133612	1
728716	0
284661	0
55966	2748
100616489	0
100616421	0
261734	271
8514	1098
26038	1
6146	2690
102724450	2
388591	101
23463	2719
148645	19
390992	0
387509	947
11332	1278
54626	31
83715	0
100422975	0
8718	249
57449	1503
79707	457
80835	3
3104	256
9903	2736
148479	673
90326	446
55735	277
100505887	0
23261	659
9341	4346
8863	140
10911	1
3604	4
11315	1642
54206	2140
102724539	0
50651	9
473	757
102724552	4
2023	23595
102465436	1
100505975	1
765	1
155184	0
6518	311
80045	251
407040	14
9563	1493
80176	298
100506022	1
84275	0
199953	154
5293	798
644997	1
101929074	26
22883	3593
56998	174
84328	486
64802	346
100847055	0
105376719	0
116362	0
10277	839
23095	971
100422970	0
5226	3063
100526739	0
378708	3
1325	3
1676	959
5195	215
54897	0
148345	0
23435	245
10747	20
6723	698
5394	1032
2475	956
100873935	6
10218	4
29914	280
57540	0
101929181	0
26232	174
93611	207
26270	63
10459	979
374946	0
57085	607
284498	0
102724659	0
4524	346
1185	386
100379251	3
4878	1
4879	0
26829	362
90231	1727
5351	3891
9927	1612
60672	477
102466982	0
943	2
102465836	0
7133	56
100616438	0
55187	1047
677885	14
9249	2276
102466722	11
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	628
7799	303
23254	0
200197	0
55092	145
727684	0
114827	15
101927417	5
79180	2341
11330	0
63036	0
51032	0
842	95
23341	525
79814	117
84301	116
6248	53
23207	1634
284723	2
388595	0
54751	2004
440567	56
729614	54
23013	759
7709	302
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	25
1969	2487
128272	171
101927546	0
79363	51
54455	365
26099	1271
374955	0
55707	721
114819	63
26871	39
100126512	73
100126517	0
102724970	0
100133301	0
7195	14
55672	226
84809	112
11209	29
26869	12
729574	0
100126533	21
284729	0
100189045	3
102723383	0
6060	5
11223	1
100500876	0
100189298	12
7193	3
791226	0
9696	95
26870	26
4237	150
23400	677
6390	2706
11240	30
29943	13
51702	49
100616188	0
23569	1
353238	0
55920	1485
55160	111
81569	1
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	103
100616120	0
100302276	0
126917	185
23352	4470
23065	3091
51154	501
246181	6
22977	6
100506730	19
8574	1348
54896	336
832	2367
100532736	0
440574	186
644068	20
4681	44
3362	1
255104	121
54546	0
23252	181
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	273
79594	337
163933	4
978	1018
65018	1173
102464833	0
100861548	42
1650	3374
57576	8
400745	109
50809	2831
8672	1299
100302155	0
1889	2318
100506801	8
84224	206
249	0
5909	6
84196	588
401944	0
3339	1414
23436	0
10136	0
101928043	8
29092	99
998	7119
54361	9
100616433	0
9923	222
2046	0
102466615	0
712	0
714	0
713	0
2048	295
100616391	0
100422914	0
646262	0
729059	4
23028	1645
100422866	0
100616177	0
7798	1220
3352	11
100996511	63
10236	956
80818	570
148898	100
6920	19
55616	2188
1870	3
101928163	0
3399	951
259283	0
6135	16882
6924	552
100506963	24
57095	1153
11313	714
2582	1026
3155	841
2517	233
1269	0
100616492	0
55629	1022
10772	1303
127294	6
58985	6
163702	76
284632	0
57822	3
90529	121
57185	573
100750325	8
11123	483
100506985	149
400746	0
10250	800
25932	22275
864	13
102465437	0
100616365	4
25949	310
57035	1023
6007	20
23585	574
6006	212
55219	1143
26119	467
57134	1
57190	1168
56181	551
646471	24
79000	127
164091	653
3925	356
100500808	0
5051	159
2134	10
7780	0
105376910	0
84676	0
149420	152
79927	0
105376887	0
51042	67
10256	5
378807	0
101928303	0
64793	641
83442	3269
91544	61
1043	0
55057	0
257101	0
79727	0
79947	682
101928324	8
3151	3049
6195	549
100302190	0
101928728	39
8289	619
55650	462
84243	527
2810	431
54707	548
63906	71
10726	567
8431	0
126695	9
388610	959
115572	206
6548	134
23038	430
84065	463
644961	8
100887744	0
84958	5
9064	755
8547	0
388611	0
2827	141
10163	1943
27245	69
2268	0
2537	531
199870	412
23673	1894
5511	889
677774	7
9473	539
6118	412
27293	0
55113	387
2140	641
5724	3
22826	1906
93974	108
83667	177
54797	302
65979	244
1104	892
8420	505
6080	1160
26768	2858
54952	317
85028	519
692212	10
677838	30
677825	15
692073	76
115273	7
6883	1039
26824	193
10691	179
105376911	1
51441	928
4985	0
2035	183
399474	304
6429	548
51102	78
10076	184
101928460	0
101929406	0
4146	0
100129196	24
7805	43
100616164	0
400748	0
9672	544
9698	1887
692234	0
692235	1
692200	4
79570	59
9410	780
51538	727
2170	29
347735	82
149086	0
284551	0
64129	424
3061	0
553115	1387
1307	671
576	100
100423028	0
90853	763
8073	3183
10657	2668
55116	218
100847018	0
23633	3413
200081	1294
79140	132
56063	90
55721	24
149069	11
8668	2685
339483	32
84734	5
3932	0
3065	577
65108	370
100128071	11
81629	40
55108	1088
728116	1
653121	353
339487	480
5928	1403
81493	266
57648	193
8565	827
64766	619
252995	32
3208	1
113452	315
127544	743
204	1873
113451	129
55223	99
149076	167
127550	7
1912	3709
100500853	9
101929464	3
7579	192
114784	4
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	1
2701	4
113444	177
58512	1
653160	28
100506144	382
9204	514
79830	1193
6421	2956
9202	830
79932	791
23154	769
339488	15
5690	2340
127703	41
63967	24
192670	373
26523	439
192669	1232
27285	0
54936	491
1296	351
27095	366
55700	1141
9967	555
79729	71
55194	2245
83931	64
84967	98
127700	235
64960	875
1441	5
2899	0
100422898	0
728431	29
80149	839
102465438	2
64769	1017
100847010	7
79753	255
7802	7
29889	1506
284654	0
54955	483
55143	233
284656	0
149175	390
79693	887
127687	1204
4520	488
3633	156
10946	1149
2275	56
51118	879
5453	0
100500801	0
339442	0
64121	568
100527950	0
26292	0
81025	0
54933	9
79647	1824
4725	2491
23499	4143
643314	507
105378950	5
353500	12
728448	6
8761	3418
101929516	12
677834	7
26508	1
84618	1
51440	0
10450	1076
656	34
64064	4
105378951	0
101929536	1
54802	323
4610	2
84879	1102
10487	12940
5538	1002
6018	1077
127391	0
10269	1436
1298	123
64744	719
65243	132
339559	96
64789	13
127396	65
9783	16
100130557	11
4802	209
407034	3
407031	1
9132	0
163732	1537
1503	1063
100507178	15
200172	12
22955	271
100132074	0
1907	3
59269	146
2981	0
2980	0
22887	1408
284716	0
84217	23
79717	364
728621	7
10465	309
4904	2767
149461	2
64175	3966
79078	199
100129924	0
374969	142
114625	139
51058	75
339539	0
6513	1844
440584	9
105378684	0
440585	3
10969	1070
102465439	0
149465	8
128218	0
149466	4
7075	12
4352	16
991	996
64834	547
102466723	0
112950	640
23334	588
