Geneid	HMECPIT1_1
3065	607
65108	198
100128071	6
81629	22
55108	962
728116	0
653121	324
339487	532
5928	1662
81493	404
57648	206
8565	831
64766	541
252995	11
3208	0
113452	332
127544	690
204	2142
113451	107
55223	88
149076	176
127550	0
1912	3525
100500853	9
101929464	5
7579	173
114784	3
127540	0
402779	0
84970	0
693137	0
2709	2
127534	0
2707	1
2701	0
113444	264
58512	2
653160	17
100506144	388
9204	469
79830	1176
6421	2808
9202	803
79932	745
23154	568
339488	8
5690	3075
127703	76
63967	174
192670	335
26523	587
192669	928
27285	1
54936	527
1296	258
27095	323
55700	1184
9967	629
79729	62
55194	2140
83931	100
84967	97
127700	246
64960	846
1441	0
2899	0
100422898	0
728431	16
80149	844
102465438	3
64769	1004
100847010	1
79753	269
7802	2
29889	1671
284654	1
54955	405
55143	569
284656	2
149175	271
79693	861
127687	1048
4520	452
3633	146
10946	1386
2275	63
51118	876
5453	0
100500801	0
339442	0
64121	520
100527950	0
26292	0
81025	0
54933	9
79647	1762
4725	2787
23499	4411
643314	689
105378950	3
353500	18
728448	2
8761	2802
101929516	13
677834	0
26508	0
84618	0
51440	0
10450	1063
656	37
64064	4
105378951	0
101929536	1
54802	230
4610	10
84879	1031
10487	19638
5538	1251
6018	1076
127391	0
10269	1621
1298	50
64744	869
65243	122
339559	96
64789	18
127396	68
9783	7
100130557	5
4802	276
407034	2
407031	0
9132	0
163732	1352
1503	1385
100507178	12
200172	20
22955	287
100132074	1
1907	0
59269	218
2981	0
2980	0
22887	1306
284716	0
84217	8
79717	361
728621	9
10465	359
4904	3403
149461	0
64175	2730
79078	171
100129924	1
374969	171
114625	123
51058	59
339539	0
6513	3606
440584	11
105378684	0
440585	2
10969	1678
102465439	0
149465	10
128218	0
149466	0
7075	13
4352	4
991	2052
64834	661
102466723	0
112950	636
23334	426
102465440	0
81888	4
5792	838
9682	472
100132774	30
6487	421
101929592	0
102464830	0
9048	118
9670	748
1802	413
533	2932
8704	2485
149473	80
6536	89
128209	32
105378952	0
55929	147
79033	1006
100874278	4
55182	537
100847089	0
79639	94
339541	4
26828	271
26830	7
11004	2107
6202	31642
26811	172
94161	54
94162	0
94163	6
266675	8
1263	312
343521	13
149478	25
8643	18
8891	564
79654	416
7389	3286
57643	87
400752	7
84842	12
4595	146
114034	229
10420	124
126661	55
25974	86
5052	8558
10327	1093
4678	201
149483	19
60313	2970
728963	6
51249	452
3652	214
23139	434
8503	147
101929626	0
10103	13
55624	1674
541468	15
8438	130
10489	2218
7388	2833
387338	269
2166	7
729041	0
101929651	0
127343	1
100507423	0
148930	0
8569	167
148932	151
64756	626
374973	0
100130197	8
9813	3406
1580	0
163720	0
1579	0
260293	3
199974	4
284541	0
100874253	2
10158	2
6886	0
6491	757
51727	5999
102724077	6
2301	1
84793	10
2306	23
388630	0
391037	0
200010	0
54558	15
84871	0
79656	0
101929721	0
100874313	0
1996	0
63950	0
11124	1390
1031	108
100616189	0
102466656	0
284546	0
26994	4234
22996	5
102724097	0
2060	1993
114883	2198
4898	3433
100313892	0
5865	1774
51060	1669
112970	0
104355143	1
91408	1435
9372	1007
200014	487
4998	117
84950	172
23318	380
105378722	0
2882	1
348378	0
65260	236
79699	1227
440590	0
55268	46
6342	1443
100616156	0
100616458	0
100616145	0
127435	0
6512	0
1376	614
54987	687
4116	227
100507564	3
7804	1146
163742	0
63948	0
148979	93
105369175	22
55706	1853
54432	371
1733	4
51668	1190
115353	783
388633	0
9528	4365
127428	139
100616315	0
200008	0
606495	36
51253	802
23648	74
619518	4
26027	17
338094	0
374977	0
100527960	0
7268	29
25973	117
55001	0
163747	1
1718	2089
100126514	0
199964	7
7809	0
255738	1
23358	1319
100507634	2
100616272	0
8613	234
5563	35
199920	0
731	0
732	0
1600	0
101926890	0
115209	348
4070	980
114803	261
3725	1335
100131060	3
101926925	31
729467	1
55277	179
100616409	0
101926944	0
51361	0
1573	8
127795	0
101926964	0
100996570	0
4774	181
645030	0
414927	0
83941	437
10207	223
100422902	0
100422946	0
54596	0
163782	1
7398	1180
85440	1484
27329	11
84938	166
199899	0
100996301	21
27022	8
102464823	0
29929	346
23421	493
84455	129
79469	6
5236	1431
4919	2
101927034	0
148581	0
57685	123
100616338	0
55225	355
3716	5827
101927084	1
105378775	3
100500854	0
406893	0
205	570
9829	179
54741	1651
3953	736
5142	3388
101927139	0
84251	39
100422871	0
200132	0
10022	0
79819	92
57708	1414
23169	962
400757	0
149233	0
3595	0
26135	1908
1647	57
55970	12752
100289178	20
9077	4
79971	125
100302279	0
6121	0
55635	2197
101927220	8
57554	3
5301	0
55631	639
9295	1923
81573	1053
11147	38
1491	89
101927244	0
5733	0
100132618	20
9406	893
406962	11
100852410	2
257194	174
100852409	0
101927295	0
127255	31
100526835	0
8790	190
51086	4
105378804	0
105378803	0
127254	0
101927320	0
1429	292
127253	206
431707	0
204962	0
34	383
1744	11
5876	1833
692085	31
26805	22
26804	9
4438	0
127247	0
101927342	0
256435	5
81849	11
102466995	0
10026	3017
26289	1677
26009	2456
23032	1998
374986	1390
374987	23
91624	165
8880	765
11080	493
54810	6
149047	2
5737	1113
10964	49
10561	53
64123	0
101927412	0
23266	377
101927434	0
101927498	0
101927587	0
101927560	0
79739	152
5567	489
148418	16
391051	0
58511	0
80135	567
2787	847
100505741	19
1486	447
103695366	1
439927	0
117178	256
23566	419
255231	3
