Geneid	HMECPIT1_2
100287102	0
653635	44
102466751	0
100302278	0
645520	0
79501	0
729737	45
102725121	8
102723897	108
102465909	0
729759	0
100132287	1
105378947	0
101928626	0
102465432	0
81399	0
100133331	4
100288069	24
400728	6
79854	5
643837	121
284593	0
100130417	1
148398	81
26155	1546
339451	566
84069	66
84808	14
57801	95
9636	146
375790	4562
105369174	20
105378948	1
401934	0
54991	367
254099	0
406984	0
406983	0
554210	0
254173	0
8784	2
7293	7
51150	1204
126792	1076
388581	8
118424	978
6339	140
116983	761
102465434	0
126789	397
54973	2047
102465435	0
80772	461
83756	151
1855	3178
102466740	0
54587	76
54998	1693
81669	1187
148413	93
55052	254
441869	0
643965	0
102724312	2
64856	33
219293	3
83858	978
55210	1118
339453	14
29101	1676
643988	48
142678	756
8510	1
984	355
728661	1426
8511	2
728642	156
9906	358
65220	1019
2782	8599
105378949	6
163688	6
339456	15
85452	0
2563	0
5590	16
100506504	11
199990	708
105378592	15
6497	1147
105378594	3
79906	40
100129534	7
11079	3964
5192	273
9651	4
55229	56
388585	0
115110	0
8764	0
100996583	0
127281	1
79258	0
100287898	0
140625	0
440556	0
63976	1
100422968	0
27237	103
1953	120
693135	0
127262	1081
49856	316
7161	12
57212	119
148870	3
388588	12
57470	1482
9731	686
1677	174
339448	224
100133612	1
728716	0
284661	0
55966	5439
100616489	0
100616421	1
261734	358
8514	2011
26038	5
6146	2413
102724450	3
388591	200
23463	3729
148645	25
390992	1
387509	1231
11332	1740
54626	33
83715	8
100422975	0
8718	402
57449	1749
79707	652
80835	6
3104	245
9903	2323
148479	666
90326	343
55735	328
100505887	0
23261	647
9341	5164
8863	178
10911	0
3604	3
11315	1809
54206	3604
102724539	0
50651	10
473	1077
102724552	3
2023	46143
102465436	9
100505975	1
765	0
155184	0
6518	690
80045	337
407040	24
9563	2542
80176	432
100506022	7
84275	0
199953	264
5293	1921
644997	3
101929074	21
22883	5269
56998	158
84328	471
64802	442
100847055	1
105376719	0
116362	0
10277	1227
23095	1857
100422970	0
5226	2823
100526739	0
378708	15
1325	6
1676	1024
5195	279
54897	16
148345	0
23435	625
10747	43
6723	890
5394	1505
2475	2118
100873935	7
10218	16
29914	302
57540	2
101929181	0
26232	105
93611	248
26270	72
10459	1062
374946	0
57085	744
284498	0
102724659	0
4524	316
1185	619
100379251	1
4878	1
4879	2
26829	337
90231	1782
5351	4897
9927	2204
60672	380
102466982	0
943	2
102465836	0
7133	56
100616438	0
55187	2239
677885	14
9249	1498
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1113
7799	699
23254	1
200197	0
55092	198
727684	0
114827	28
101927417	8
79180	3743
11330	2
63036	0
51032	6
