Geneid	HMECPIT1_3
3932	0
3065	662
65108	230
100128071	9
81629	29
55108	1165
728116	0
653121	331
339487	437
5928	1671
81493	380
57648	249
8565	969
64766	680
252995	18
3208	3
113452	372
127544	778
204	2178
113451	134
55223	112
149076	199
127550	1
1912	4162
100500853	9
101929464	10
7579	202
114784	9
127540	0
402779	0
84970	0
693137	0
2709	1
127534	0
2707	3
2701	1
113444	284
58512	4
653160	10
100506144	425
9204	552
79830	1236
6421	3414
9202	935
79932	685
23154	684
339488	9
5690	2865
127703	78
63967	230
192670	430
26523	665
192669	1219
27285	1
54936	535
1296	291
27095	398
55700	1672
9967	770
79729	130
55194	2017
83931	102
84967	114
127700	214
64960	780
1441	0
2899	0
100422898	0
728431	15
80149	901
102465438	0
64769	975
100847010	0
79753	254
7802	8
29889	1626
284654	0
54955	430
55143	670
284656	2
149175	282
79693	819
127687	878
4520	572
3633	138
10946	1331
2275	53
51118	950
5453	0
100500801	0
339442	0
64121	504
100527950	0
26292	1
81025	0
54933	9
79647	1667
4725	2366
23499	5656
643314	753
105378950	2
353500	17
728448	5
8761	3110
101929516	24
677834	11
26508	0
84618	2
51440	3
10450	979
656	32
64064	1
105378951	0
101929536	0
54802	283
4610	5
84879	1195
10487	19319
5538	1211
6018	1239
127391	0
10269	1713
1298	61
64744	928
65243	152
339559	96
64789	34
127396	65
9783	7
100130557	20
4802	292
407034	1
407031	3
9132	2
163732	1433
1503	1467
100507178	30
200172	19
22955	385
100132074	1
1907	1
59269	271
2981	0
2980	0
22887	1351
284716	0
84217	7
79717	351
728621	3
10465	308
4904	3241
149461	3
64175	3260
79078	150
100129924	0
374969	178
114625	126
51058	63
339539	0
6513	3654
440584	12
105378684	0
440585	11
10969	1502
102465439	0
149465	12
128218	0
149466	0
7075	8
4352	3
991	2137
64834	652
102466723	0
112950	613
23334	676
102465440	0
81888	3
5792	983
9682	468
100132774	37
6487	426
101929592	4
102464830	1
9048	91
9670	852
1802	410
533	2727
8704	2384
149473	80
6536	87
128209	23
105378952	0
55929	198
79033	1057
100874278	11
55182	570
100847089	0
79639	115
339541	3
26828	223
26830	19
11004	2244
6202	28916
26811	155
94161	45
94162	0
94163	5
266675	17
1263	423
343521	11
149478	61
8643	25
8891	540
79654	549
7389	3246
57643	153
400752	11
84842	32
4595	204
114034	173
10420	108
126661	57
25974	81
5052	8181
10327	1040
4678	215
149483	29
60313	3090
728963	6
51249	468
3652	245
23139	570
8503	178
101929626	0
10103	6
55624	1691
541468	18
8438	119
10489	2426
7388	2448
387338	210
2166	8
729041	0
101929651	0
127343	0
100507423	3
148930	0
8569	186
148932	160
64756	504
374973	4
100130197	3
9813	3543
1580	0
163720	0
1579	0
260293	0
199974	2
284541	5
100874253	3
10158	5
6886	0
6491	717
51727	5947
102724077	12
2301	0
84793	10
2306	14
388630	0
391037	0
200010	0
54558	17
84871	0
79656	0
101929721	0
100874313	0
1996	0
63950	0
11124	1448
1031	83
100616189	0
102466656	0
284546	0
26994	4455
22996	16
102724097	0
2060	2169
114883	2259
4898	3406
100313892	0
5865	2079
51060	1527
112970	0
104355143	0
91408	1353
9372	1039
200014	496
4998	194
84950	223
23318	582
105378722	3
2882	0
348378	0
65260	265
79699	1413
440590	0
55268	52
6342	1351
100616156	0
100616458	0
100616145	0
127435	0
6512	0
1376	716
54987	695
4116	235
100507564	2
7804	1262
163742	0
63948	0
148979	139
105369175	78
55706	1701
54432	360
1733	10
51668	945
115353	733
388633	0
9528	3999
127428	141
100616315	0
200008	0
606495	34
51253	864
23648	122
619518	6
26027	28
338094	3
374977	1
100527960	0
7268	21
25973	112
55001	0
163747	5
1718	2164
100126514	0
199964	4
7809	0
255738	0
23358	1677
100507634	2
100616272	0
8613	207
5563	46
199920	3
731	0
732	0
1600	0
101926890	0
115209	303
4070	1018
114803	352
3725	1893
100131060	4
101926925	38
729467	0
55277	191
100616409	0
101926944	0
51361	0
1573	1
127795	0
101926964	5
100996570	0
4774	176
645030	3
414927	0
83941	434
10207	253
100422902	0
100422946	0
54596	0
163782	0
7398	1240
85440	1610
27329	13
84938	197
199899	0
100996301	6
27022	2
102464823	0
29929	318
23421	541
84455	126
79469	5
5236	1458
4919	3
101927034	0
148581	0
57685	131
100616338	0
55225	335
3716	6504
101927084	1
105378775	2
100500854	0
406893	0
205	579
9829	211
54741	1671
3953	846
5142	3628
101927139	0
84251	25
100422871	0
200132	0
10022	0
79819	85
57708	1500
23169	1021
400757	2
149233	0
3595	4
26135	1910
1647	88
55970	13358
100289178	39
9077	9
79971	127
100302279	0
6121	2
55635	2269
101927220	2
57554	10
5301	0
55631	616
9295	2492
81573	1105
11147	45
1491	114
101927244	0
5733	2
100132618	24
9406	1075
406962	13
100852410	0
257194	174
100852409	0
101927295	0
127255	37
100526835	0
8790	193
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	324
127253	246
431707	0
204962	0
34	371
1744	26
5876	1782
692085	37
26805	34
26804	14
4438	4
127247	0
101927342	0
256435	0
81849	8
102466995	0
10026	2883
26289	1762
26009	2565
23032	2265
374986	1419
374987	31
91624	204
8880	863
11080	481
54810	11
149047	6
5737	1134
10964	52
10561	43
64123	0
101927412	0
23266	402
101927434	0
101927498	0
101927587	0
101927560	1
79739	210
5567	557
148418	19
391051	0
58511	4
80135	616
2787	830
100505741	32
1486	492
103695366	9
439927	0
117178	256
23566	441
255231	9
55283	3
126820	15
100616481	0
84144	3
148423	205
8915	548
646626	5
23576	1990
3491	1593
54680	269
255631	2
57489	475
102465842	0
9635	0
1179	0
22802	0
9629	0
105378828	7
51100	2898
9403	2080
9653	815
339524	3
101927844	0
105378832	0
8543	1267
100505768	2
101927891	5
5586	1506
2959	429
56267	836
494115	445
2635	685
2633	232
2634	64
388646	0
115361	0
115362	5
729930	0
163351	0
400759	0
23507	24
84230	1121
400761	10
55144	746
105378846	10
492303	20
284695	166
343472	0
84146	1296
164045	0
8317	176
7049	255
676	0
253152	90
646817	5
284697	28
23285	160
388649	1
11146	152
79871	498
2672	17
7813	626
6125	16025
388650	349
6083	5
26782	15
22823	202
50999	3237
343099	168
100131564	129
1810	2298
54874	920
100126520	1
8412	3765
100129046	58
100126348	4
100189133	1
30836	798
2730	1598
24	7
9411	3813
5825	1443
2152	17442
101928079	7
100616321	0
126969	22
1266	3205
105378862	14
729970	18
199857	71
101928098	0
148534	14
100527978	4
101928118	1
25950	91
440594	0
100996635	0
102723661	0
101928241	0
58155	374
1806	1686
100873932	7
100873933	4
400765	7
100616452	0
406928	0
729987	0
51375	388
163404	0
100129620	0
9890	0
101928270	0
54873	7
391059	93
178	577
23443	561
64645	2252
163786	200
54482	165
127495	8
1629	598
100506007	5
8634	696
693138	1
8556	121
54112	0
100128787	5
7412	4
2135	491
148867	2726
51611	258
102606465	57
101928334	0
101928370	0
1901	0
104355286	0
118427	0
94236	0
1301	0
101928436	0
55599	117
280	10
648740	0
279	0
276	0
277	4
278	0
100129138	0
101928476	0
55170	88
22854	341
10451	424
102465839	0
100873946	1
29957	2953
148545	0
653149	0
284611	1318
113802	30
55119	329
163479	0
6814	524
254268	6
642864	0
29899	808
23155	433
22911	433
6884	307
56900	1181
677766	12580
127003	1
57535	2
6301	1310
1952	18
84722	198
343263	0
6272	13
5686	1260
284612	1
127002	44
284613	33
57463	5
83873	1
2773	2916
406974	1
2780	18
271	1196
2948	61
2946	10
2944	0
2949	0
2947	41
79574	0
1435	76
10768	2013
85369	290
257	23
104355139	0
164153	0
388662	1
100873974	0
3749	147
440600	4
64783	461
9122	1576
10542	541
101410535	2
84432	0
643160	0
440602	0
3744	0
3737	0
3738	0
963	1
55791	421
128338	863
10390	455
79961	19
1117	0
149620	0
27159	0
128344	0
441897	0
5016	9
79084	374
515	3406
128346	13
57413	0
140	0
100129269	0
5906	623
55924	50
100506343	14
101928718	3
11218	491
3752	0
100874295	0
100873995	0
643355	0
55917	416
100422976	0
7482	23
54879	200
829	6244
4343	490
389	2274
333926	30
284467	11
100996702	32
6566	1668
246182	3
100506392	38
100996251	13
9860	477
643441	0
260425	349
10745	301
54665	541
100287722	10
26191	537
440603	2
10717	347
64858	142
101928846	1
204851	1293
56944	649
148281	15
51592	836
10286	527
163259	18
270	0
4893	2761
7812	7811
80143	1132
6847	0
7252	0
10100	2
4803	36
81839	842
845	0
4808	1
101928995	0
101928977	0
55356	167
126868	0
476	1536
84852	13
101929023	0
965	225
100616384	0
3321	113
100302117	0
388667	0
914	0
5738	1070
9398	4
101929099	0
8458	373
100126331	1
80263	75
79679	1
104355292	0
10905	1367
100996263	0
54855	79
54834	632
10885	699
200162	2
6913	38
10352	201
104472716	0
101929147	21
51179	0
100874270	0
3284	0
3283	0
128102	21
644242	47
90874	475
26227	453
3158	2
83998	0
343505	0
11085	0
4853	7966
9554	1755
105378954	14
728841	622
767846	17
100996724	510
101929796	149
101060684	270
100189005	23
101954277	84
653505	0
728855	5
101954264	12
100189257	0
105369199	0
100996721	0
100126488	5
101929798	0
2210	0
100996318	0
337875	0
653820	108
653464	344
100873165	2
647121	7
101929815	0
100189261	0
101954269	0
26863	57
791227	0
105369140	0
388692	0
100189142	0
100189326	0
199882	0
100189356	0
100132417	0
100996713	0
554282	4
100996712	10
101060524	0
730262	0
101954267	47
100189323	10
284565	1073
100189127	0
728945	0
105371215	0
1818	0
645166	7
647135	254
728833	75
101929805	1
102724235	5
103091866	59
645142	0
101954266	82
7214	18
100288142	287
100126510	0
101060254	0
101929780	24
653519	545
5174	13
11126	9
27246	583
10623	626
200035	69
10401	1086
102466191	0
148741	1
8515	121
8799	548
114814	37
9939	671
128077	2176
84265	150
284615	37
10628	11639
148738	0
100189384	1
100189064	1
100188991	0
100189198	0
101954276	102
101928979	25
100132406	569
388677	1002
170688	1
105371242	0
102724558	0
100288805	0
105373468	14
149013	178
728989	0
100189334	0
101447996	54
644861	0
5565	713
171423	83
2330	22
9557	875
100289211	0
607	134
51205	112
2702	23
2703	0
51463	135
100034743	11
100189140	0
26864	63
100189193	0
200030	157
101927468	0
100189056	0
100189307	0
100189174	0
100188998	0
100847044	54
101954273	0
102466225	3
26860	12
100132057	6
101954272	3
388685	28
644591	0
25832	1148
100996763	845
440672	1
9659	3628
400818	527
653513	225
100996761	7
101060226	399
653598	0
57234	10
644634	0
100189228	0
102723955	0
100189059	0
440689	3224
2209	0
101927767	0
653604	2126
8370	111
105371405	0
126961	10
8337	118
337873	23
723790	28
333932	14
554313	32
8349	4377
8338	7812
317772	2874
51027	43
9900	452
10262	288
10903	555
56957	392
105373477	6
11311	594
51177	656
81611	713
23632	5
51107	1894
79630	11
148523	17
54460	2402
9129	844
23248	530
80222	553
102465529	0
1893	666
100874054	4
54507	178
105371437	3
100422997	0
574406	84
4170	19023
2029	2356
55204	832
84072	1
1520	612
1513	86
405	877
9869	671
29956	5157
8416	31
55793	65
58497	316
149428	3
54964	46
56882	692
10962	805
126626	113
10500	39
100534012	0
79626	0
388695	208
79005	20
29765	6
6944	1225
8394	2999
5710	1349
57592	769
5298	1063
